Date;Open;High;Low;Close;Average
6-2-2012;12.860.719.727;12.924.709.961;12.743.559.570;12.801.230.469;12.830.975.098
13-2-2012;12.799.110.352;12.967.919.922;12.753.620.117;12.949.870.117;12.874.490.235
20-2-2012;12.949.339.844;13.013.820.313;12.882.669.922;12.982.950.195;12.966.145.020
27-2-2012;12.981.129.883;13.055.750.000;12.882.589.844;12.977.570.313;12.979.350.098
5-3-2012;12.977.339.844;12.977.339.844;12.734.860.352;12.922.019.531;12.949.679.688
12-3-2012;12.920.580.078;13.289.080.078;12.919.980.469;13.232.620.117;13.076.600.098
19-3-2012;13.231.940.430;13.269.709.961;13.002.769.531;13.080.730.469;13.156.335.450
26-3-2012;13.082.620.117;13.264.980.469;13.032.669.922;13.212.040.039;13.147.330.078
2-4-2012;13.211.360.352;13.297.110.352;13.012.459.961;13.060.139.648;13.135.750.000
9-4-2012;13.057.570.313;13.057.719.727;12.710.559.570;12.849.589.844;12.953.580.079
16-4-2012;12.850.879.883;13.131.360.352;12.850.799.805;13.029.259.766;12.940.069.825
23-4-2012;13.028.200.195;13.266.679.688;12.845.580.078;13.228.309.570;13.128.254.883
30-4-2012;13.228.309.570;13.338.660.156;13.022.339.844;13.038.269.531;13.133.289.551
7-5-2012;13.035.849.609;13.049.089.844;12.748.480.469;12.820.599.609;12.928.224.609
14-5-2012;12.818.490.234;12.818.860.352;12.336.759.766;12.369.379.883;12.593.935.059
21-5-2012;12.369.150.391;12.575.959.961;12.311.559.570;12.454.830.078;12.411.990.235
28-5-2012;12.454.830.078;12.611.610.352;12.107.480.469;12.118.570.313;12.286.700.196
4-6-2012;12.119.849.609;12.555.259.766;12.035.089.844;12.554.200.195;12.337.024.902
11-6-2012;12.553.809.570;12.774.700.195;12.398.480.469;12.767.169.922;12.660.489.746
18-6-2012;12.767.019.531;12.898.940.430;12.561.459.961;12.640.780.273;12.703.899.902
25-6-2012;12.639.799.805;12.880.389.648;12.450.169.922;12.880.089.844;12.759.944.825
2-7-2012;12.879.709.961;12.961.299.805;12.702.990.234;12.772.469.727;12.826.089.844
9-7-2012;12.772.019.531;12.830.290.039;12.492.250.000;12.777.089.844;12.774.554.688
16-7-2012;12.776.330.078;12.977.570.313;12.645.099.609;12.822.570.313;12.799.450.196
23-7-2012;12.820.450.195;13.117.740.234;12.521.839.844;13.075.660.156;12.948.055.176
30-7-2012;13.075.349.609;13.133.179.688;12.778.900.391;13.096.169.922;13.085.759.766
6-8-2012;13.099.879.883;13.215.969.727;13.094.959.961;13.207.950.195;13.153.915.039
13-8-2012;13.204.929.688;13.281.320.313;13.112.940.430;13.275.200.195;13.240.064.942
20-8-2012;13.274.580.078;13.330.759.766;13.027.200.195;13.157.969.727;13.216.274.903
27-8-2012;13.157.740.234;13.176.169.922;12.978.910.156;13.090.839.844;13.124.290.039
3-9-2012;13.092.150.391;13.320.269.531;12.977.089.844;13.306.639.648;13.199.395.020
10-9-2012;13.308.559.570;13.653.240.234;13.251.389.648;13.593.370.117;13.450.964.844
17-9-2012;13.588.570.313;13.647.099.609;13.503.000.000;13.579.469.727;13.584.020.020
24-9-2012;13.577.849.609;13.620.209.961;13.367.269.531;13.437.129.883;13.507.489.746
1-10-2012;13.437.660.156;13.661.870.117;13.424.919.922;13.610.150.391;13.523.905.274
8-10-2012;13.589.259.766;13.610.379.883;13.296.429.688;13.328.849.609;13.459.054.688
15-10-2012;13.329.540.039;13.588.730.469;13.312.219.727;13.343.509.766;13.336.524.903
22-10-2012;13.344.280.273;13.368.549.805;13.017.370.117;13.107.209.961;13.225.745.117
29-10-2012;13.107.440.430;13.289.450.195;13.052.070.313;13.093.160.156;13.100.300.293
5-11-2012;13.092.280.273;13.290.750.000;12.743.389.648;12.815.389.648;12.953.834.961
12-11-2012;12.815.929.688;12.898.250.000;12.471.490.234;12.588.309.570;12.702.119.629
19-11-2012;12.590.230.469;13.011.450.195;12.590.230.469;13.009.530.273;12.799.880.371
26-11-2012;13.008.450.195;13.062.559.570;12.765.320.313;13.025.580.078;13.017.015.137
3-12-2012;13.027.730.469;13.157.280.273;12.923.440.430;13.155.129.883;13.091.430.176
10-12-2012;13.154.889.648;13.329.440.430;13.118.459.961;13.135.009.766;13.144.949.707
17-12-2012;13.135.169.922;13.365.860.352;13.122.530.273;13.190.839.844;13.163.004.883
24-12-2012;13.190.150.391;13.190.379.883;12.926.860.352;12.938.110.352;13.064.130.372
31-12-2012;12.938.190.430;13.447.110.352;12.883.889.648;13.435.209.961;13.186.700.196
7-1-2013;13.436.129.883;13.496.679.688;13.293.129.883;13.488.429.688;13.462.279.786
14-1-2013;13.488.429.688;13.649.929.688;13.445.799.805;13.649.700.195;13.569.064.942
21-1-2013;13.649.700.195;13.895.980.469;13.622.959.961;13.895.980.469;13.772.840.332
28-1-2013;13.895.980.469;14.019.780.273;13.860.580.078;14.009.790.039;13.952.885.254
4-2-2013;14.009.790.039;14.022.620.117;13.852.200.195;13.992.969.727;14.001.379.883
11-2-2013;13.992.969.727;14.038.969.727;13.906.730.469;13.981.759.766;13.987.364.747
18-2-2013;13.981.759.766;14.058.269.531;13.834.400.391;14.000.570.313;13.991.165.040
25-2-2013;14.000.570.313;14.149.150.391;13.784.009.766;14.089.660.156;14.045.115.235
4-3-2013;14.089.660.156;14.413.169.922;14.030.370.117;14.397.070.313;14.243.365.235
